Severity,Sensor,Interfaces,Event,Src Host,Src Hosts,Dst Host,Dst Hosts,Src Subnet,Src Subnets,Dst Subnet,Dst Subnets,Src User,Dst User,Service,Service Type,Protocol,Events,Start time,End time
8,mendel,eno2,Scan: Internal Scan-like Behavior,tmb_klm1 (147.232.31.42),1,tunet (147.232.31.1),1,Automatically created subnet (147.232.31.0/24),1,Automatically created subnet (147.232.31.0/24),1,,,,ANY,TCP (6),2,2024-06-25 08:35:26,2024-06-25 08:36:14
7,mendel,eno2,Adware-pup: InnoDownloadPlugin User-Agent Observed,tmb_klm1 (147.232.31.42),1,download.visualstudio.microsoft.com (68.232.34.200),1,Automatically created subnet (147.232.31.0/24),1,EDGECAST,1,,,HTTP (80),REMOTE,TCP (6),4,2024-06-26 12:45:00,2024-06-26 12:46:59
7,mendel,eno2,Blacklist: Tor blacklist,tmb_klm1 (147.232.31.42),1,thisis.feralhosting.com (185.21.216.197),1,Automatically created subnet (147.232.31.0/24),1,Feral.io Ltd,1,,,54507,REMOTE,TCP (6),1,2024-06-26 08:57:00,2024-06-26 08:58:59
6,mendel,eno2,Policy: Request to an external DNS server,tmb_klm1 (147.232.31.42),2,rs1.tuke.sk (147.232.3.2),1,Automatically created subnet (147.232.31.0/24),1,Zdruzenie pouzivatelov Slovenskej akademickej datovej siete,1,,,DNS (53),REMOTE,UDP (17),303,2024-06-18 09:44:00,2024-06-26 15:10:59
6,mendel,eno2,Policy: Request to an external DNS server,tmb_klm1 (147.232.31.42),2,rs2.tuke.sk (147.232.16.16),1,Automatically created subnet (147.232.31.0/24),1,Zdruzenie pouzivatelov Slovenskej akademickej datovej siete,1,,,DNS (53),REMOTE,UDP (17),94,2024-06-18 09:47:00,2024-06-26 15:10:59
6,mendel,eno2,Policy: Request to an external DNS server,tmb_klm1 (147.232.31.42),1,rs3.tuke.sk (193.87.100.12),1,Automatically created subnet (147.232.31.0/24),1,Zdruzenie pouzivatelov Slovenskej akademickej datovej siete,1,,,DNS (53),REMOTE,UDP (17),12,2024-06-18 10:25:00,2024-06-26 12:46:59
6,mendel,eno2,Blacklist: General blacklist,tmb_klm1 (147.232.31.42),2,8.209.247.198,1,Automatically created subnet (147.232.31.0/24),1,"Alibaba US Technology Co., Ltd.",1,,,BITTORRENT-DHT (21910),REMOTE,UDP (17),5,2024-06-25 11:09:00,2024-06-26 15:06:59
6,mendel,eno2,Scan: Port Sweep-like Behavior (horizontal port scan),tmb_klm1 (147.232.31.42),1,,,Automatically created subnet (147.232.31.0/24),1,Den Digital Entertainment Pvt. Ltd. AS ISP india,1,,,BITTORRENT-DHT (6881),ANY,UDP (17),2,2024-06-26 08:38:10,2024-06-26 12:46:26
6,mendel,eno2,Scan: Port Sweep-like Behavior (horizontal port scan),tmb_klm1 (147.232.31.42),1,,,Automatically created subnet (147.232.31.0/24),1,Automatically created subnet (147.232.31.0/24),1,,,ARP (2054),ANY,N/A (-1),2,2024-06-25 08:34:55,2024-06-25 08:35:36
6,mendel,,Discovery: New external DNS client,,,tmb_klm1 (147.232.31.42),1,,,Automatically created subnet (147.232.31.0/24),1,,,,LOCAL,N/A (-1),1,2024-06-18 09:18:00,2024-06-18 09:48:00
